ID,Vaccine,Live,final_Bd,Infected
24,CA,Panama,26.6086795,1
25,Panama,Panama,0,0
28,CA,Panama,0,0
29,Panama,Panama,57.3664327,1
32,CA,Panama,48.1795669,1
33,Panama,Panama,978.312974,1
37,Panama,Panama,248.723601,1
43,CA,Panama,0,0
44,Panama,Panama,41.9670833,1
46,CA,Panama,246.707587,1
52,CA,Panama,93.2228255,1
53,Panama,Panama,81725.8496,1
56,CA,Panama,0,0
60,CA,Panama,4.34810943,1
61,Panama,Panama,28420.9437,1
64,CA,Panama,0,0
65,Panama,Panama,78.5091888,1
68,CA,Panama,0,0
69,Panama,Panama,11.5358842,1
72,CA,Panama,0,0
76,CA,Panama,18.8711617,1
77,Panama,Panama,116.955095,1
79,Panama,Panama,0,0
85,CA,Panama,15.31295485,1
92,CA,Panama,0,0
93,Panama,Panama,31.73223645,1
95,CA,Panama,98.70169915,1
